;vorname;anzahl;geschlecht;position
CW;Mara;7;w;1
CW;Simon;7;m;1
CW;William;7;m;1
CW;Paul;6;m;3
CW;Elisabeth;6;w;3
CW;Maria;6;w;3
CW;Sophie;6;w;3
CW;Alma;6;w;2
CW;Ava;6;w;2
CW;Carlotta;6;w;2
CW;Hannah;6;w;2
CW;Helena;6;w;2
CW;Isabella;6;w;2
CW;Katharina;6;w;2
CW;Lara;6;w;2
CW;Matilda;6;w;2
CW;Mia;6;w;2
CW;Mira;6;w;2
CW;Sabine;6;w;2
CW;Andreas;6;m;2
CW;Constantin;6;m;2
CW;Fritz;6;m;2
CW;Hugo;6;m;2
CW;Leopold;6;m;2
CW;Linus;6;m;2
CW;Thomas;6;m;2
CW;William;6;m;2
CW;Adriana;6;w;1
CW;Defne;6;w;1
CW;Ali;6;m;1
CW;Elif;6;w;1
CW;Constantin;6;m;1
CW;Esila;6;w;1
CW;Dominik;6;m;1
CW;Eva;6;w;1
CW;Emilio;6;m;1
CW;Finja;6;w;1
CW;Emir;6;m;1
CW;Helene;6;w;1
CW;Ferdinand;6;m;1
CW;Jasmin;6;w;1
CW;Jannes;6;m;1
CW;Kira;6;w;1
CW;Kilian;6;m;1
CW;Liana;6;w;1
CW;Leopold;6;m;1
CW;Michelle;6;w;1
CW;Levin;6;m;1
CW;Nika;6;w;1
CW;Lio;6;m;1
CW;Pauline;6;w;1
CW;Luka;6;m;1
CW;Romy;6;w;1
CW;Mateo;6;m;1
CW;Zoe;6;w;1
CW;Mattis;6;m;1
CW;Mio;6;m;1
CW;Miran;6;m;1
CW;Nathan;6;m;1
CW;Nick;6;m;1
CW;Nicolas;6;m;1
CW;Niklas;6;m;1
CW;Alexander;5;m;3
CW;Maria;5;m;3
CW;Alexandra;5;w;2
CW;Clara;5;w;2
CW;Emilie;5;w;2
CW;Jolie;5;w;2
CW;Laura;5;w;2
CW;Lea;5;w;2
CW;Liv;5;w;2
CW;Magdalena;5;w;2
CW;Marlene;5;w;2
CW;Meryem;5;w;2
CW;Mina;5;w;2
CW;Arthur;5;m;2
CW;Sofie;5;w;2
CW;Aurel;5;m;2
CW;Theresa;5;w;2
CW;Finn;5;m;2
CW;Valentina;5;w;2
CW;Franz;5;m;2
CW;Henri;5;m;2
CW;Jonas;5;m;2
CW;Levin;5;m;2
CW;Matteo;5;m;2
CW;Niklas;5;m;2
CW;Ole;5;m;2
CW;Oliver;5;m;2
CW;Peter;5;m;2
CW;Robert;5;m;2
CW;Wilhelm;5;m;2
CW;Alessia;5;w;1
CW;Alina;5;w;1
CW;Alisa;5;w;1
CW;Aurelia;5;w;1
CW;Elin;5;w;1
CW;Jonna;5;w;1
CW;Juno;5;w;1
CW;Aaron;5;m;1
CW;Katharina;5;w;1
CW;Adem;5;m;1
CW;Marta;5;w;1
CW;August;5;m;1
CW;Melissa;5;w;1
CW;Bennet;5;m;1
CW;Meryem;5;w;1
CW;Edgar;5;m;1
CW;Miray;5;w;1
CW;Elyas;5;m;1
CW;Paulina;5;w;1
CW;Gustav;5;m;1
CW;Pia;5;w;1
CW;Jason;5;m;1
CW;Rosa;5;w;1
CW;Johan;5;m;1
CW;Valentina;5;w;1
CW;Johannes;5;m;1
CW;Victoria;5;w;1
CW;Joris;5;m;1
CW;Kaan;5;m;1
CW;Lennard;5;m;1
CW;Lennart;5;m;1
CW;Mohamad;5;m;1
CW;Mohammad;5;m;1
CW;Neo;5;m;1
CW;Nils;5;m;1
CW;Piet;5;m;1
CW;Sami;5;m;1
CW;Till;5;m;1
CW;Tristan;5;m;1
CW;Ömer;5;m;1
CW;Frederick;4;m;3
CW;Heinrich;4;m;3
CW;Rosa;4;w;3
CW;Christine;4;w;2
CW;Dorothea;4;w;2
CW;Elena;4;w;2
CW;Eleni;4;w;2
CW;Ella;4;w;2
CW;Frieda;4;w;2
CW;Gabriele;4;w;2
CW;Käthe;4;w;2
CW;Lena;4;w;2
CW;Lina;4;w;2
CW;Lotta;4;w;2
CW;Albert;4;m;2
CW;Martha;4;w;2
CW;Ben;4;m;2
CW;Mila;4;w;2
CW;Bruno;4;m;2
CW;Olivia;4;w;2
CW;Christian;4;m;2
CW;Pauline;4;w;2
CW;Emanuel;4;m;2
CW;Rosalie;4;w;2
CW;Emilian;4;m;2
CW;Therese;4;w;2
CW;Erik;4;m;2
CW;Viktoria;4;w;2
CW;Ferdinand;4;m;2
CW;Joachim;4;m;2
CW;John;4;m;2
CW;Josef;4;m;2
CW;Julian;4;m;2
CW;Leonardo;4;m;2
CW;Levi;4;m;2
CW;Luis;4;m;2
CW;Marc;4;m;2
CW;Matthias;4;m;2
CW;Mattis;4;m;2
CW;Maxim;4;m;2
CW;Neo;4;m;2
CW;Patrick;4;m;2
CW;Tim;4;m;2
CW;Victor;4;m;2
CW;Viktor;4;m;2
CW;Willem;4;m;2
CW;Wolfgang;4;m;2
CW;Alexandra;4;w;1
CW;Aliya;4;w;1
CW;Amaya;4;w;1
CW;Amelia;4;w;1
CW;Amina;4;w;1
CW;Annabell;4;w;1
CW;Annabelle;4;w;1
CW;Annika;4;w;1
CW;Asya;4;w;1
CW;Ayla;4;w;1
CW;Azra;4;w;1
CW;Beatrice;4;w;1
CW;Edda;4;w;1
CW;Ahmad;4;m;1
CW;Elissa;4;w;1
CW;Albert;4;m;1
CW;Emmi;4;w;1
CW;Alfred;4;m;1
CW;Esma;4;w;1
CW;Artur;4;m;1
CW;Esther;4;w;1
CW;Arvid;4;m;1
CW;Helen;4;w;1
CW;Bilal;4;m;1
CW;Helin;4;w;1
CW;Can;4;m;1
CW;Henriette;4;w;1
CW;Conrad;4;m;1
CW;Hira;4;w;1
CW;Emilian;4;m;1
CW;Janna;4;w;1
CW;Eren;4;m;1
CW;Käthe;4;w;1
CW;Eymen;4;m;1
CW;Lotte;4;w;1
CW;Franz;4;m;1
CW;Lucia;4;w;1
CW;Georg;4;m;1
CW;Lucie;4;w;1
CW;Hussein;4;m;1
CW;Malina;4;w;1
CW;Jacob;4;m;1
CW;Margarete;4;w;1
CW;James;4;m;1
CW;Marla;4;w;1
CW;Jona;4;m;1
CW;Martha;4;w;1
CW;Julien;4;m;1
CW;Naomi;4;w;1
CW;Juri;4;m;1
CW;Nisa;4;w;1
CW;Karim;4;m;1
CW;Ronja;4;w;1
CW;Laith;4;m;1
CW;Rosalie;4;w;1
CW;Leonas;4;m;1
CW;Ruth;4;w;1
CW;Lian;4;m;1
CW;Selma;4;w;1
CW;Lionel;4;m;1
CW;Tala;4;w;1
CW;Magnus;4;m;1
CW;Yade;4;w;1
CW;Marlon;4;m;1
CW;Mehmet;4;m;1
CW;Milo;4;m;1
CW;Muhammad;4;m;1
CW;Muhammed;4;m;1
CW;Nikita;4;m;1
CW;Ole;4;m;1
CW;Pepe;4;m;1
CW;Rayan;4;m;1
CW;Richard;4;m;1
CW;Robin;4;m;1
CW;Salih;4;m;1
